month,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
99年 5月,17,24,8,15,8,3,34,5,2,17,7,7,1,3,16,2,2,4,1,2,2,0
99年 6月,20,15,9,8,6,1,12,4,2,9,13,6,3,3,11,1,2,2,3,3,0,0
99年 7月,17,31,7,11,16,3,26,5,1,14,12,11,2,3,12,2,2,7,8,1,0,1
99年 8月,18,24,8,8,12,3,29,10,1,7,11,7,2,3,11,2,2,6,2,3,0,0
99年 9月,16,17,7,10,8,3,7,8,2,6,6,5,9,4,8,1,2,0,6,1,1,1
99年 10月,17,16,6,9,11,3,11,2,3,14,13,8,3,4,7,1,2,5,6,5,1,2
99年 11月,21,11,7,11,8,3,19,10,4,9,8,8,3,7,16,2,5,6,3,3,1,4
99年 12月,25,21,7,9,9,6,11,5,2,9,18,4,6,9,20,2,4,4,3,3,0,2
100年,157,177,92,99,112,55,138,75,29,93,158,120,24,59,151,24,35,48,54,25,7,12
100年 1月,21,11,8,10,18,8,18,6,2,8,17,19,2,5,18,4,4,7,11,3,0,2
100年 2月,23,20,8,5,14,3,14,5,2,14,18,8,3,6,32,2,3,8,5,1,2,1
100年 3月,9,13,7,7,18,5,8,6,4,8,21,9,2,6,22,1,6,7,5,2,0,3
100年 4月,17,12,7,6,6,5,15,9,3,11,15,12,4,4,19,3,6,0,4,3,0,1
100年 5月,8,10,5,9,9,4,10,7,5,7,8,8,1,6,9,2,3,4,6,1,0,0
100年 6月,11,16,13,13,12,2,17,4,3,9,11,9,3,8,10,2,1,2,2,3,0,1
100年 7月,10,13,7,8,7,4,13,4,2,2,12,11,1,3,8,1,2,5,2,4,1,1
100年 8月,8,12,3,10,5,6,16,6,0,5,12,8,4,2,10,2,2,1,3,0,0,2
100年 9月,12,25,9,8,5,4,4,9,3,6,12,11,1,6,10,3,2,6,4,1,2,1
100年 10月,10,13,6,9,5,3,13,2,1,6,8,13,1,3,5,2,3,1,4,2,0,0
100年 11月,11,13,6,5,8,5,3,8,2,10,7,4,0,4,5,1,2,3,3,1,2,0
100年 12月,17,19,13,9,5,6,7,9,2,7,17,8,2,6,3,1,1,4,5,4,0,0
101年,120,137,104,114,90,53,117,68,37,114,139,148,28,57,39,25,28,41,37,23,14,1
101年 1月,13,16,3,11,13,3,15,5,1,11,9,14,1,4,5,2,1,3,4,2,4,0
101年 2月,16,7,7,8,11,4,7,10,1,5,11,11,2,10,5,2,0,4,1,1,0,0
101年 3月,10,9,11,5,8,5,10,9,4,11,13,10,8,10,3,1,3,5,8,1,0,1
101年 4月,12,10,7,10,9,3,8,10,2,8,10,19,6,3,1,2,3,6,1,1,1,0
101年 5月,11,10,12,4,5,2,16,7,1,9,9,8,0,2,4,3,2,0,2,1,1,0
