時間地點,消防員因公傷亡,消防車,救災車,消防勤務車,救護車輛,消防人力總計,土地面積(平方公里),人口數(人),消防車/土地面積(平方公里),消防車/人口數(人),救災車/土地面積(平方公里),救災車/人口數(人),消防勤務車/土地面積(平方公里),消防勤務車/人口數(人),救護車輛/土地面積(平方公里),救護車輛/人口數(人),消防人力總計/土地面積(平方公里),消防人力總計/人口數(人)
98年新竹縣,0,61,24,105,37,311,1427.5369,510882,0.04273094446805543,0.00011940134903950423,0.016812174872677547,4.6977579949968875e-05,0.07355326506796427,0.00020552691228111384,0.025918769595377884,7.242376908953535e-05,0.21785776605844653,0.0006087511401850134,
97年嘉義市,1,35,13,70,13,208,60.0256,273793,0.5830845505917476,0.00012783380144853958,0.21657426164836338,4.74811262523147e-05,1.1661691011834951,0.00025566760289707916,0.21657426164836338,4.74811262523147e-05,3.465188186373814,0.0007596980200370352,
96年屏東縣,4,88,13,140,36,370,2775.6003,889563,0.03170485318076958,9.892497776998369e-05,0.004683671492613688,1.4613917170565772e-05,0.05043953915122433,0.00015738064645224678,0.012970167210314828,4.04693090877206e-05,0.13330449632823574,0.00041593456562379505,
97年嘉義縣,0,58,19,86,30,367,1901.675,548731,0.030499428135722456,0.00010569842053756758,0.009991191975495287,3.4625344658858346e-05,0.04522328999434709,0.00015672524424535883,0.01577556627709782,5.467159682977634e-05,0.19298776078983002,0.0006688158678842639,
102年臺北市,0,257,106,305,78,1577,271.7997,2686516,0.9455492408564101,9.566293295852323e-05,0.3899930721042003,3.94563069790018e-05,1.1221498772809537,0.00011352993989241084,0.28697603418988327,2.9033886267567362e-05,5.802066742531357,0.0005870056236404324,
96年新竹縣,6,56,20,84,34,300,1427.5369,495821,0.03922840803624761,0.0001129439858335972,0.014010145727231289,4.033713779771329e-05,0.05884261205437141,0.0001694159787503958,0.02381724773629319,6.857313425611258e-05,0.21015218590846932,0.0006050570669656994,
97年基隆市,0,39,31,58,16,204,132.7589,388979,0.29376561571389936,0.0001002624820363053,0.23350600223412515,7.969581905449908e-05,0.4368821977283632,0.00014910830661809507,0.12051922695954846,4.113332596361243e-05,1.5366201437342428,0.0005244499060360585,
97年臺南市,19,166,35,197,80,812,2191.6531,1873005,0.07574191371800583,8.862763313498897e-05,0.015969680603194,1.8686549154967553e-05,0.08988648796654909,0.00010517857667224594,0.036502127093014855,4.271211235421155e-05,0.3704965899941008,0.0004335279403952472,
97年臺北市,68,260,70,341,72,1540,271.7997,2622923,0.9565867806329441,9.91260513556822e-05,0.25754259478579267,2.668778305729905e-05,1.2546003545993614,0.00013000762889341395,0.2649009546368153,2.745029114465045e-05,5.665937085287438,0.0005871312272605791,
95年新北市,18,282,49,440,140,1105,2052.5667,3767095,0.1373889579325242,7.48587439392954e-05,0.023872549427991795,1.3007370400799555e-05,0.2143657499656406,0.00011680087706840417,0.06820728407997656,3.716391543085587e-05,0.5383503493455293,0.00029332947536496955,
98年南投縣,0,89,58,103,28,373,4106.436,530824,0.0216732952857417,0.0001676638584540262,0.014124169961494591,0.00010926408753183729,0.025082577690240394,0.00019403794854791796,0.006818564808997389,5.274818018778352e-05,0.09083302406271522,0.0007026811146444019,
100年彰化縣,6,117,75,80,50,490,1074.396,1303039,0.10889839500519362,8.979009837771549e-05,0.0698066634648677,5.755775537033044e-05,0.07446044102919222,6.13949390616858e-05,0.046537775643245134,3.8371836913553625e-05,0.4560702013038023,0.0003760440017528255,
94年新竹市,1,36,11,65,16,185,104.0964,390692,0.3458332853009326,9.214419542760025e-05,0.1056712816197294,2.815517082510008e-05,0.6244212095711282,0.00016637146396650046,0.15370368235597004,4.095297574560011e-05,1.7771988272409036,0.0004735187820585013,
96年宜蘭縣,1,40,6,37,24,202,2143.6251,460398,0.018659979303283954,8.688135048371191e-05,0.002798996895492593,1.3032202572556789e-05,0.017260480855537656,8.036524919743353e-05,0.011195987581970372,5.2128810290227154e-05,0.09423289548158396,0.00043875081994274517,
98年新竹市,0,38,19,65,15,219,104.1526,411587,0.36484926924531885,9.232555935926062e-05,0.18242463462265943,4.616277967963031e-05,0.624084276340677,0.00015792529890399843,0.1440194483863101,3.644429974707656e-05,2.102683946440127,0.0005320867763073178,
94年嘉義市,1,34,11,67,13,196,60.0256,271701,0.5664249920034119,0.0001251375593023213,0.18325514447169208,4.048568095075101e-05,1.1161904254184882,0.00024659460215457435,0.21657426164836338,4.7846713850887556e-05,3.2652734833137864,0.0007213812242133816,
98年臺北市,0,260,74,301,75,1531,271.7997,2607428,0.9565867806329441,9.971512156807398e-05,0.27225931448783797,2.838045767706721e-05,1.1074331575789085,0.00011543942919996258,0.2759384944133493,2.8763977375405956e-05,5.632824465957836,0.0005871686581566202,
99年臺南市,15,168,33,171,74,887,2191.6531,1873794,0.0766544668953312,8.965766781193664e-05,0.015057127425868629,1.7611327605916124e-05,0.07802329666131926,9.125869759429265e-05,0.03376446756103874,3.949206796478162e-05,0.40471733414380223,0.0004733711389832607,
98年臺中市,5,189,110,225,86,991,2214.8968,2635761,0.08533128947587987,7.170604618552289e-05,0.04966371345157029,4.1733677674113855e-05,0.10158486842366651,8.536434069705106e-05,0.038827994153045865,3.262814799976174e-05,0.4474249093682378,0.00037598249613678933,
102年新北市,42,272,357,641,116,2098,2052.5667,3954929,0.13251700906966873,6.87749388168536e-05,0.17392857440394022,9.026710719712036e-05,0.3122919221090355,0.0001620762344911881,0.05651460680912343,2.9330488613069918e-05,1.0221348714270773,0.000530477285432937,
102年澎湖縣,0,29,12,78,15,160,126.8641,100400,0.22859106713404345,0.0002888446215139442,0.094589407089949,0.00011952191235059761,0.6148311460846686,0.0007768924302788844,0.11823675886243627,0.000149402390438247,1.2611920945326536,0.0015936254980079682,
100年臺中市,0,194,132,218,105,1091,2214.8968,2664394,0.0875887309964058,7.281205407308379e-05,0.05959645614188435,4.9542222359005463e-05,0.09842445029493022,8.181973086563023e-05,0.04740627193104437,3.940858596739071e-05,0.4925737397787563,0.0004094739741945073,
94年澎湖縣,1,23,13,70,14,156,126.8641,92489,0.18129636358906895,0.0002486782211938717,0.1024718576807781,0.00014055725545740575,0.551771541358036,0.0007568467601552617,0.11035430827160718,0.00015136935203105233,1.2296622921693372,0.001686687065488869,
102年南投縣,0,92,70,92,27,366,4106.436,517222,0.02240385580099142,0.00017787333098746765,0.017046412022493473,0.00013533840401220367,0.02240385580099142,0.00017787333098746765,0.006575044637247483,5.220195583327855e-05,0.08912838286046587,0.0007076265124066649,
94年南投縣,1,76,31,93,19,283,4106.436,537168,0.018507533052992912,0.0001414827391058291,0.0075491253242471095,5.771006463527239e-05,0.02264737597274133,0.00017313019390581717,0.004626883263248228,3.5370684776457274e-05,0.06891620860522361,0.0005268370416703898,
96年雲林縣,0,62,41,44,28,334,1290.8326,725672,0.048031015020847785,8.543804914617073e-05,0.031762445417012244,5.6499355080532254e-05,0.03408652678898875,6.0633454232766316e-05,0.02169142613844739,3.8584925420851293e-05,0.258747726080051,0.00046026303894872617,
100年新北市,21,261,201,824,122,2077,2052.5667,3916451,0.12715786532052772,6.664196743429191e-05,0.09792617214339491,5.132197492066159e-05,0.4014485862992906,0.00021039456385385646,0.05943777612683671,3.115065144438166e-05,1.0119037788150806,0.0005303270741801697,
97年桃園縣,39,165,36,217,93,865,1220.954,1958686,0.1351402264131163,8.424014875278631e-05,0.029485140308316286,1.837966881878974e-05,0.17772987352512873,0.00011078855926881593,0.07616994579648374,4.7480811115206826e-05,0.7084623990748219,0.00044162259800703123,
97年宜蘭縣,2,50,11,34,22,212,2143.6251,460902,0.023324974129104944,0.00010848293129558996,0.005131494308403087,2.386624488502979e-05,0.015860982407791362,7.376839328100117e-05,0.010262988616806175,4.773248977005958e-05,0.09889789030740495,0.0004599676286933014,
98年嘉義市,2,35,13,70,14,209,60.0256,273861,0.5830845505917476,0.00012780206016920994,0.21657426164836338,4.746933663427797e-05,1.1661691011834951,0.0002556041203384199,0.23323382023669903,5.112082406768397e-05,3.4818477449621494,0.0007631608735818536,
101年宜蘭縣,1,53,37,21,27,214,2143.6251,458595,0.024724472576851238,0.00011557038345381001,0.017260480855537656,8.068121109039566e-05,0.009796489134224077,4.579203872698132e-05,0.01259548602971667,5.88754783632617e-05,0.09983088927256915,0.0004666426803606668,
99年苗栗縣,0,64,46,147,24,346,1820.3149,560968,0.03515875192803179,0.00011408850415709987,0.02527035294827285,8.200111236291554e-05,0.08075525833469802,0.0002620470329858388,0.013184531973011922,4.278318905891245e-05,0.19007700261092186,0.0006167909755993211,
99年基隆市,0,34,30,57,16,226,132.7589,384134,0.2561033572890405,8.851078009236361e-05,0.22597355054915338,7.809774714032082e-05,0.4293497460433914,0.00014838571956660957,0.12051922695954846,4.165213180817111e-05,1.702334080803622,0.0005883363617904169,
99年臺中市,0,192,115,223,87,1038,2214.8968,2648419,0.08668575438819542,7.249608162454656e-05,0.05192115497209622,4.342213222303571e-05,0.10068189181545614,8.420117813684316e-05,0.03927948245715105,3.284978698612266e-05,0.4686448596611815,0.00039193194128270487,
95年臺北市,61,239,84,320,77,1484,271.7997,2632242,0.8793240021972063,9.079712275695016e-05,0.3090511137429512,3.191195946269378e-05,1.1773375761636236,0.00012156936938169059,0.2832968542643719,2.9252629507469298e-05,5.459903009458804,0.0005637779505075901,
101年新竹市,0,37,23,65,13,229,104.1526,425071,0.35524797268623154,8.704428201406354e-05,0.2208298208590088,5.4108607738471924e-05,0.624084276340677,0.00015291563056524674,0.12481685526813541,3.058312611304935e-05,2.1986969120310005,0.000538733529222177,
94年臺南市,10,154,32,211,61,714,2191.6531,1862918,0.0702665946540536,8.266601106436246e-05,0.014600850837205944,1.7177352948438954e-05,0.09627436020782669,0.00011326317100376936,0.027832871908423828,3.274432905796176e-05,0.3257814843051576,0.00038326968766204416,
96年苗栗縣,4,49,29,113,24,239,1820.3149,560163,0.02691841944489934,8.74745386610683e-05,0.015931309467389406,5.177064533002001e-05,0.06207717137293113,0.0002017269973204228,0.013184531973011922,4.284467199725794e-05,0.13129596423124373,0.000426661525306027,
98年桃園縣,24,166,35,214,98,922,1220.954,1978782,0.1359592580883473,8.388998889215689e-05,0.028666108633085278,1.7687648260394524e-05,0.1752727784994357,0.00010814733507784082,0.08026510417263878,4.952541512910467e-05,0.7551472045629893,0.00046594319131667867,
98年嘉義縣,0,55,20,86,30,380,1903.6367,547716,0.02889206748325455,0.0001004170044329543,0.010506206357547109,3.651527433925611e-05,0.04517668733745257,0.00015701567965880129,0.015759309536320664,5.477291150888417e-05,0.19961792079339508,0.0006937902124458661,
97年屏東縣,4,90,14,142,41,407,2775.6003,884838,0.03242541802578707,0.00010171353400283442,0.005043953915122433,1.5822105289329798e-05,0.051160103996241824,0.00016048135364891652,0.014771579322858554,4.6336165490180124e-05,0.1466349459610593,0.0004599712037683734,
101年連江縣,0,12,4,16,6,32,28.8,11310,0.41666666666666663,0.0010610079575596816,0.1388888888888889,0.00035366931918656057,0.5555555555555556,0.0014146772767462423,0.20833333333333331,0.0005305039787798408,1.1111111111111112,0.0028293545534924846,
97年連江縣,0,8,4,10,8,25,28.8,9755,0.2777777777777778,0.0008200922603792927,0.1388888888888889,0.00041004613018964635,0.3472222222222222,0.0010251153254741158,0.2777777777777778,0.0008200922603792927,0.8680555555555556,0.0025627883136852894,
98年雲林縣,0,60,41,47,28,352,1290.8326,722795,0.04648162743953012,8.301108889795862e-05,0.031762445417012244,5.672424408027172e-05,0.03641060816096526,6.502535297006758e-05,0.02169142613844739,3.873850815238069e-05,0.27269221431191,0.0004869983882013572,
96年金門縣,0,21,9,24,10,70,151.656,81547,0.1384712771008071,0.00025752020307307443,0.05934483304320304,0.0001103658013170319,0.1582528881152081,0.00029430880351208506,0.06593870338133671,0.00012262866813003543,0.4615709236693569,0.0008584006769102481,
95年桃園縣,9,160,35,228,83,768,1220.954,1911161,0.13104506803696125,8.371874478392977e-05,0.028666108633085278,1.8313475421484636e-05,0.18673922195266981,0.00011929921131709992,0.06797962904417365,4.3429098856663565e-05,0.6290163265774141,0.0004018499749628629,
94年高雄市,12,253,47,195,119,1108,2946.2671,2753486,0.0858713726260596,9.188352510236116e-05,0.015952389381125698,1.7069271461703457e-05,0.06618544530467044,7.0819317766642e-05,0.04039009226285017,4.321794263707896e-05,0.3760690943465377,0.0004023989953099453,
99年臺北市,0,260,74,301,75,1562,271.7997,2618772,0.9565867806329441,9.928317547308434e-05,0.27225931448783797,2.825751917310862e-05,1.1074331575789085,0.00011493936852845532,0.2759384944133493,2.863937754031279e-05,5.746879043648687,0.0005964627695729144,
95年宜蘭縣,1,40,4,32,19,180,2143.6251,460426,0.018659979303283954,8.68760669466972e-05,0.0018659979303283954,8.687606694669719e-06,0.014927983442627163,6.950085355735775e-05,0.008863490169059879,4.126613179968116e-05,0.08396990686477779,0.00039094230126013736,
98年苗栗縣,2,54,40,126,24,288,1820.3149,561744,0.029665196939276824,9.612919764163036e-05,0.02197421995501987,7.120681306787434e-05,0.06921879285831259,0.00022430146116380416,0.013184531973011922,4.27240878407246e-05,0.15821438367614307,0.0005126890540886952,
102年嘉義縣,4,62,59,56,32,378,1903.6367,529229,0.03256923970839604,0.00011715155443106859,0.030993308754763974,0.00011148293082956527,0.029417377801131905,0.00010581430722806196,0.016809930172075375,6.0465318416035405e-05,0.19856730015764038,0.0007142465737894182,
100年臺東縣,2,41,17,100,25,284,3515.2526,228290,0.011663457698601802,0.00017959612773227036,0.0048360678262495274,7.446668710850234e-05,0.02844745780146781,0.0004380393359323667,0.007111864450366953,0.00010950983398309168,0.08079078015616858,0.0012440317140479215,
101年高雄市,6,237,85,228,144,1506,2947.6159,2778659,0.0804039630808071,8.529294166718551e-05,0.02883686439607006,3.059029553464459e-05,0.07735064802710558,8.205396919881137e-05,0.048853040859224574,5.182355949398613e-05,0.5109213856527236,0.0005419880597079382,
102年彰化縣,8,121,82,76,51,494,1074.396,1296013,0.11262141705665323,9.33632610166719e-05,0.07632195205492202,6.327097027576113e-05,0.07073741897773261,5.864138708485177e-05,0.04746853115611004,3.935145712272948e-05,0.45979322335526196,0.0003811690160515365,
96年南投縣,0,88,44,108,25,329,4106.436,533717,0.021429775113991793,0.00016488138845118292,0.010714887556995897,8.244069422559146e-05,0.02630017854898993,0.00020235443128099724,0.006088004293747669,4.684130353726788e-05,0.08011813650571932,0.0006164315545504452,
98年宜蘭縣,3,50,20,35,21,214,2143.6251,461625,0.023324974129104944,0.0001083130246412131,0.009329989651641977,4.332520985648524e-05,0.01632748189037346,7.581911724884918e-05,0.009796489134224077,4.5491470349309504e-05,0.09983088927256915,0.0004635797454643921,
101年臺東縣,2,52,18,102,32,286,3515.2526,226252,0.01479267805676326,0.00022983222247759135,0.005120542404264206,7.95573077807047e-05,0.029016406957497166,0.00045082474409065997,0.0091031864964697,0.0001414352138323639,0.08135972931219794,0.0012640772236267525,
97年彰化縣,3,115,20,118,55,468,1074.396,1312935,0.10703688397946381,8.759001778458188e-05,0.018615110257298055,1.523304657123163e-05,0.10982915051805853,8.987497477026662e-05,0.05119155320756965,4.1890878070886983e-05,0.4355935800207745,0.00035645328976682014,
95年臺南市,6,165,33,194,61,729,2191.6531,1866727,0.07528563712934315,8.839000025177757e-05,0.015057127425868629,1.7678000050355515e-05,0.08851765820056103,0.00010392521241724152,0.027832871908423828,3.267751524459656e-05,0.3326256331350979,0.00039052309202149,
94年苗栗縣,4,52,20,85,22,226,1820.3149,559944,0.02856648594152583,9.286642950009287e-05,0.010987109977509934,3.571785750003572e-05,0.046695217404417226,0.0001518008943751518,0.012085820975260928,3.928964325003929e-05,0.12415434274586226,0.0004036117897504036,
97年南投縣,0,92,41,108,26,350,4106.436,531753,0.02240385580099142,0.00017301265813262924,0.009984327041746177,7.710346721128043e-05,0.02630017854898993,0.00020310181606873867,0.006331524465497575,4.8894881646177833e-05,0.08523206011246737,0.0006582003298523938,
102年臺中市,18,210,148,254,104,1178,2214.8968,2701661,0.09481254386208875,7.772995945827401e-05,0.06682026900756731,5.478111428487882e-05,0.11467802924271686,9.401623667810285e-05,0.04695478362693919,3.849483706504998e-05,0.5318532222359074,0.00043602805829450847,
97年臺中市,7,186,100,211,85,943,2214.8968,2624072,0.08397682456356431,7.088220140301028e-05,0.04514883041051845,3.810871043172596e-05,0.09526403216619393,8.040937901094177e-05,0.03837650584894068,3.239240386696707e-05,0.42575347077118897,0.0003593651393711758,
101年臺南市,0,192,60,229,81,941,2191.6531,1881645,0.08760510502323565,0.00010203837599547205,0.02737659531976114,3.188699249858501e-05,0.10448733880375503,0.00012170202136959947,0.03695840368167754,4.304743987308977e-05,0.42935626993158726,0.0005000943323528083,
98年屏東縣,6,87,29,141,45,478,2775.6003,882640,0.03134457075826083,9.856793256593855e-05,0.010448190252753611,3.2855977521979516e-05,0.05079982157373308,0.00015974802864134868,0.016212709012893536,5.098341339617511e-05,0.17221499795918022,0.0005415571467415934,
97年臺東縣,3,47,16,93,21,156,3515.2526,231849,0.013370305166689871,0.00020271814845006879,0.00455159324823485,6.901043351491703e-05,0.026456135755365064,0.00040112314480545525,0.0059739661383082406,9.057619398832861e-05,0.044378034170289786,0.0006728517267704411,
98年基隆市,0,39,33,57,16,216,132.7589,388321,0.29376561571389936,0.00010043237424707909,0.24857090560406872,8.498123974752846e-05,0.4293497460433914,0.000146785777745731,0.12051922695954846,4.120302533213501e-05,1.6270095639539042,0.0005562408419838227,
97年新北市,13,279,69,668,119,1298,2052.5667,3833730,0.13592737327366755,7.277507805714017e-05,0.03361644715370273,1.7998137584023916e-05,0.32544618403874526,0.000174242839219246,0.05797619146798007,3.104026626809921e-05,0.6323789623986398,0.00033857366063859477,
102年金門縣,0,28,10,19,10,73,151.656,120713,0.18462836946774278,0.00023195513324993994,0.06593870338133671,8.28411190178357e-05,0.12528353642453974,0.0001573981261338878,0.06593870338133671,8.28411190178357e-05,0.48135253468375794,0.0006047401688302006,
100年臺南市,0,174,39,211,79,919,2191.6531,1876960,0.07939212642730731,9.270309436535675e-05,0.017794786957844744,2.077827977154548e-05,0.09627436020782669,0.00011241582132810501,0.03604585050435217,4.208933594748956e-05,0.41931818498100815,0.0004896215156423153,
95年臺東縣,0,40,10,89,22,151,3515.2526,235957,0.011378983120587124,0.0001695224129820264,0.002844745780146781,4.23806032455066e-05,0.02531823744330635,0.0003771873688850087,0.006258440716322918,9.32373271401145e-05,0.04295566128021639,0.0006399471090071496,
102年嘉義市,0,36,15,70,17,206,60.0256,270872,0.5997441091800831,0.00013290410230662453,0.24989337882503465,5.537670929442689e-05,1.1661691011834951,0.00025842464337399215,0.28321249600170595,6.276027053368381e-05,3.4318690691971425,0.0007605068076434626,
101年彰化縣,7,117,76,77,52,491,1074.396,1299868,0.10889839500519362,9.000913938953801e-05,0.07073741897773261,5.8467475159016145e-05,0.07166817449059751,5.923678404268741e-05,0.048399286668974945,4.000406195090578e-05,0.45700095681666725,0.00037773066188259117,
94年雲林縣,0,62,39,43,26,312,1290.8326,733330,0.048031015020847785,8.454583884472202e-05,0.030213057835694574,5.318205991845418e-05,0.03331183299832992,5.8636630166500754e-05,0.02014203855712972,3.5454706612302785e-05,0.2417044626855566,0.0004254564793476334,
98年臺東縣,0,48,15,92,22,160,3515.2526,232497,0.013654779744704549,0.00020645427682937844,0.004267118670220171,6.451696150918076e-05,0.026171661177350387,0.000395704030589642,0.006258440716322918,9.462487688013179e-05,0.045515932482348496,0.0006881809227645948,
99年新竹市,0,38,21,65,13,218,104.1526,415344,0.36484926924531885,9.149042721214223e-05,0.2016272277408341,5.056049924881544e-05,0.624084276340677,0.00015649678338919065,0.12481685526813541,3.129935667783813e-05,2.09308264988104,0.0005248661350591317,
99年宜蘭縣,0,48,20,36,25,207,2143.6251,460486,0.022391975163940744,0.00010423769669436204,0.009329989651641977,4.343237362265085e-05,0.01679398137295556,7.817827252077153e-05,0.011662487064552472,5.429046702831356e-05,0.09656539289449446,0.0004495250669944363,
99年屏東縣,4,91,29,139,48,538,2775.6003,873509,0.03278570044829582,0.00010417751849150954,0.010448190252753611,3.319942896982172e-05,0.050079256728715583,0.00015912829747604203,0.01729355628041977,5.49507789845325e-05,0.19383194330970493,0.0006159066477849684,
98年花蓮縣,0,48,18,81,22,223,4628.5714,340964,0.010370370434385004,0.00014077732546544504,0.003888888912894376,5.279149704954189e-05,0.01750000010802469,0.0002375617367229385,0.0047530864490931265,6.452294083832897e-05,0.048179012643080325,0.00065402799122488,
96年澎湖縣,0,26,10,76,14,158,126.8641,92390,0.2049437153615562,0.00028141573763394305,0.07882450590829085,0.00010823682216690118,0.5990662449030104,0.000822599848468449,0.11035430827160718,0.00015153155103366165,1.2454271933509953,0.0017101417902370387,
100年花蓮縣,0,49,19,84,24,234,4628.5714,336838,0.010586419818434691,0.0001454705229219981,0.004104938296944064,5.640693745955029e-05,0.018148148260173757,0.0002493780392948539,0.005185185217192502,7.125086836995825e-05,0.05055555586762689,0.000694695966607093,
102年高雄市,3,256,130,288,153,1487,2947.6159,2779877,0.08684985041639924,9.209040543880179e-05,0.04410343966457774,4.6764659011891534e-05,0.09770608171844915,0.00010360170611865201,0.05190635591292611,5.503840637553388e-05,0.5044754983171316,0.0005349157534667901,
98年臺南市,14,164,37,181,72,851,2191.6531,1875406,0.07482936054068046,8.744773131791197e-05,0.01688223378051937,1.9729061333919162e-05,0.08258606254794612,9.651243517403698e-05,0.03285191438371337,3.839168692005891e-05,0.38829137695194554,0.00045376841068014073,
100年南投縣,0,92,67,97,28,380,4106.436,522807,0.02240385580099142,0.00017597316026755571,0.016315851507243753,0.00012815436671658947,0.023621456659740955,0.00018553691897774897,0.006818564808997389,5.3557048777082175e-05,0.09253766526496457,0.0007268456619746866,
96年臺中市,9,188,93,223,84,891,2214.8968,2606794,0.08487980117177468,7.211923918806012e-05,0.041988412281782156,3.5676006619625484e-05,0.10068189181545614,8.554569329222026e-05,0.037925017544835495,3.222348984998431e-05,0.4022760789577194,0.00034179916019447644,
97年雲林縣,0,63,40,46,28,340,1290.8326,723674,0.04880570881150662,8.705577373237121e-05,0.03098775162635341,5.5273507131664256e-05,0.03563591437030642,6.356453320141389e-05,0.02169142613844739,3.869145499216498e-05,0.263395888824004,0.00046982481061914617,
99年彰化縣,3,113,63,88,53,482,1074.396,1307286,0.10517537295373401,8.643862169410519e-05,0.05863759731048887,4.8191443953350685e-05,0.08190648513211143,6.731503282372794e-05,0.049330042181839846,4.054200840519978e-05,0.4486241572008831,0.0003687027934208735,
102年屏東縣,3,111,34,175,53,548,2775.6003,852286,0.03999134889847072,0.00013023797176065313,0.012249602365297338,3.989271207083068e-05,0.06304942393903042,0.00020533013565868734,0.019094968392963495,6.21856982280596e-05,0.1974347675347924,0.0006429766533769181,
100年基隆市,0,36,33,57,16,240,132.7589,379927,0.27116826065898403,9.475504504812767e-05,0.24857090560406872,8.685879129411702e-05,0.4293497460433914,0.00015002882132620214,0.12051922695954846,4.2113353354723406e-05,1.807788404393227,0.0006317003003208511,
99年新竹縣,21,60,21,105,40,318,1427.5369,513015,0.042030437181693865,0.00011695564457179615,0.014710653013592853,4.0934475600128655e-05,0.07355326506796427,0.00020467237800064325,0.028020291454462578,7.797042971453076e-05,0.2227613170629775,0.0006198649162305195,
101年基隆市,10,37,34,54,18,234,132.7589,377153,0.2787007123439558,9.810342221856913e-05,0.2561033572890405,9.014909068733379e-05,0.40675239098847604,0.000143177967562236,0.13558413032949201,4.7725989187412e-05,1.7625936942833962,0.0006204378594363561,
95年基隆市,0,46,26,55,17,193,132.7589,390633,0.34649277750870183,0.00011775758832459112,0.19584374380926625,6.655863687911671e-05,0.41428484267344784,0.00014079711647505458,0.12805167864452024,4.351910872865324e-05,1.4537631751995534,0.000494069881448828,
94年臺東縣,0,33,12,89,18,146,3515.2526,238943,0.009387661074484377,0.00013810825175878766,0.003413694936176137,5.0221182457740966e-05,0.02531823744330635,0.00037247376989491216,0.005120542404264206,7.533177368661146e-05,0.041533288390143,0.0006110243865691818,
