時間地點,消防員因公傷亡,消防車,救災車,消防勤務車,救護車輛,消防人力總計,土地面積(平方公里),人口數(人),消防車/土地面積(平方公里),消防車/人口數(人),救災車/土地面積(平方公里),救災車/人口數(人),消防勤務車/土地面積(平方公里),消防勤務車/人口數(人),救護車輛/土地面積(平方公里),救護車輛/人口數(人),消防人力總計/土地面積(平方公里),消防人力總計/人口數(人)
100年屏東縣,2,96,39,132,52,558,2775.6003,864529,0.03458711256083954,0.00011104312290275977,0.014051014477841064,4.511126867924616e-05,0.04755727977115437,0.00015268429399129468,0.018734685970454752,6.014835823899487e-05,0.20103759175987984,0.0006454381518722911,
102年花蓮縣,0,58,13,83,29,223,4628.5714,333897,0.012530864274881879,0.0001737062627097578,0.0028086419926459383,3.893416233149744e-05,0.017932098876124066,0.0002485796518087913,0.006265432137440939,8.68531313548789e-05,0.048179012643080325,0.0006678706307633791,
100年高雄市,2,221,93,246,127,1480,2947.6159,2774470,0.07497584742978215,7.965485299895116e-05,0.03155092222158254,3.3519915515395735e-05,0.08345727813450865,8.866558297620807e-05,0.04308566798001056,4.577450828446514e-05,0.5021006977198081,0.0005334352146536095,
96年臺北市,74,262,69,323,76,1514,271.7997,2629269,0.9639451404839667,9.964746855494817e-05,0.25386341486028136,2.6243035611799326e-05,1.1883751159401574,0.00012284783337117655,0.2796176743388606,2.8905372557923895e-05,5.570278407224144,0.0005758254480617997,
94年桃園縣,8,157,34,199,76,678,1220.954,1880316,0.12858797301126823,8.349660376234633e-05,0.02784707695785427,1.8082067056813855e-05,0.1629873033709706,0.00010583327483252816,0.0622464073175566,4.0418738126995674e-05,0.5553034758066233,0.0003605776901329351,
101年屏東縣,5,113,40,117,56,557,2775.6003,858441,0.04071191374348821,0.0001316339736801947,0.014411296900349809,4.6596096877945017e-05,0.04215304343352319,0.00013629358336798917,0.020175815660489732,6.523453562912302e-05,0.20067730933737107,0.0006488506490253844,
100年嘉義市,2,35,14,69,14,214,60.0256,271526,0.5830845505917476,0.00012890109971052497,0.23323382023669903,5.1560439884209984e-05,1.1495095425951594,0.0002541193108578921,0.23323382023669903,5.1560439884209984e-05,3.565145537903828,0.0007881381525157812,
99年澎湖縣,0,28,12,78,15,161,126.8641,96918,0.22070861654321436,0.00028890402195670564,0.094589407089949,0.00012381600941001672,0.6148311460846686,0.0008048040611651087,0.11823675886243627,0.0001547700117625209,1.2690745451234826,0.0016611981262510576,
96年連江縣,0,7,1,21,7,25,28.8,9946,0.24305555555555555,0.0007038005228232455,0.034722222222222224,0.00010054293183189222,0.7291666666666666,0.0021114015684697367,0.24305555555555555,0.0007038005228232455,0.8680555555555556,0.0025135732957973053,
98年金門縣,0,23,10,23,10,72,151.656,93803,0.1516590177770744,0.00024519471658688956,0.06593870338133671,0.00010660639851603894,0.1516590177770744,0.00024519471658688956,0.06593870338133671,0.00010660639851603894,0.4747586643456243,0.0007675660693154803,
94年屏東縣,5,93,15,125,39,318,2775.6003,898300,0.033506265293313305,0.00010352888789936547,0.005404236337631178,1.669820772570411e-05,0.04503530281359315,0.00013915173104753423,0.014051014477841064,4.341534008683068e-05,0.11456981035778098,0.0003540020037849271,
97年新竹縣,0,58,25,108,35,307,1427.5369,503273,0.04062942260897073,0.0001152456022874265,0.01751268215903911,4.96748285721666e-05,0.07565478692704895,0.0002145952594317597,0.024517755022654755,6.954476000103324e-05,0.21505573691300028,0.0006100068948662058,
102年臺南市,0,192,68,221,88,926,2191.6531,1883208,0.08760510502323565,0.00010195368753743611,0.03102680802906263,3.6108597669508625e-05,0.10083712609445354,0.00011735294242590303,0.04015233980231634,4.672877345465822e-05,0.422512121101647,0.0004917141388524263,
95年金門縣,0,21,9,23,10,68,153.056,76491,0.13720468325318835,0.0002745421029925089,0.0588020071085093,0.00011766090128250382,0.15027179594396822,0.00030068896994417643,0.06533556345389922,0.00013073433475833759,0.44428183148651473,0.0008889934763566955,
99年新北市,0,257,158,719,120,1983,2052.5667,3897367,0.12520908577538553,6.594195517127332e-05,0.0769767920331164,4.054019033875948e-05,0.35029312323930817,0.0001844835243896713,0.058463386354265616,3.0790017978804665e-05,0.9661074595042394,0.000508805047099747,
98年彰化縣,4,115,23,124,51,468,1074.396,1312467,0.10703688397946381,8.762125066763584e-05,0.021407376795892764,1.7524250133527166e-05,0.11541368359524794,9.44785659372769e-05,0.04746853115611004,3.885811986129937e-05,0.4355935800207745,0.0003565803940213354,
100年嘉義縣,3,57,22,100,32,391,1903.6367,537942,0.029942688119009263,0.00010595937852036094,0.01155682699330182,4.089660223592878e-05,0.05253103178773555,0.000185893646526949,0.016809930172075375,5.948596688862368e-05,0.205396334290046,0.0007268441579203706,
100年苗栗縣,2,66,51,146,29,365,1820.3149,562010,0.03625746292578279,0.00011743563281792139,0.028017130442650334,9.07457162683938e-05,0.08020590283582252,0.00025978185441540187,0.015931309467389406,5.160050532908667e-05,0.20051475708955632,0.0006494546360385047,
101年桃園縣,19,165,42,230,102,1022,1220.954,2030161,0.1351402264131163,8.127434228122795e-05,0.03439933035970233,2.068801439885802e-05,0.18837728530313183,0.00011329150742231774,0.08354123087356281,5.0242320682940907e-05,0.8370503720860901,0.0005034083503722118,
101年雲林縣,15,72,48,47,31,367,1290.8326,710991,0.05577795292743614,0.00010126710464689426,0.037185301951624096,6.75114030979295e-05,0.03641060816096526,6.610491553338931e-05,0.024015507510423893,4.360111450074614e-05,0.28431262117179257,0.0005161809361862527,
96年新北市,18,283,55,505,156,1159,2052.5667,3798015,0.13787615281880974,7.451260724352063e-05,0.026795718745705074,1.448124875757468e-05,0.24603341757420114,0.00013296419313773116,0.0760024022605453,4.107408738512091e-05,0.5646588732049488,0.0003051594056368919,
100年新竹市,0,37,21,66,13,233,104.1526,420052,0.35524797268623154,8.808433241598659e-05,0.2016272277408341,4.9993810290154554e-05,0.6336855728997643,0.00015712340376905718,0.12481685526813541,3.0948549227238534e-05,2.23710209826735,0.0005546932284574291,
97年新竹市,2,39,18,65,16,220,104.1526,405371,0.3744505658044062,9.620816486625831e-05,0.17282333806357209,4.4403768399811534e-05,0.624084276340677,0.00016034694144376386,0.1536207449453974,3.9470016355388025e-05,2.1122852429992145,0.0005427127248865854,
101年新北市,6,278,343,696,120,2087,2052.5667,3939305,0.135440178387382,7.057082404129662e-05,0.16710784599594256,8.707119656893792e-05,0.3390876408547406,0.0001766809119882822,0.058463386354265616,3.0462226204876242e-05,1.0167757276779361,0.000529788884079806,
98年新北市,0,287,131,717,119,1456,2052.5667,3873653,0.13982493236395194,7.40902708631878e-05,0.06382253010340663,3.381820725811011e-05,0.3493187334667371,0.00018509660003103014,0.05797619146798007,3.0720356211565673e-05,0.7093557544317561,0.00037587259364739174,
98年高雄市,7,245,93,254,114,1218,2946.2671,2770887,0.083156072305868,8.841934008857092e-05,0.03156536622222744,3.356325970709019e-05,0.08621078516608355,9.166739747957965e-05,0.038693029562730415,4.114206028611055e-05,0.4134044737491723,0.0004395704335831811,
101年花蓮縣,1,53,13,82,24,226,4628.5714,335190,0.01145061735463344,0.00015811927563471465,0.0028086419926459383,3.878397326889227e-05,0.01771604949207438,0.00024463736984993586,0.005185185217192502,7.160118141949342e-05,0.04882716079522939,0.0006742444583668964,
